Date, Storytel
2014-11-29,37.344
2014-11-30,42.368
2014-12-01,51.376
2014-12-02,51.488
2014-12-03,48.916
2014-12-04,54.664
2014-12-05,35.952
2014-12-06,49.952
2014-12-07,65.232
2014-12-08,55.804
2014-12-09,37.428
2014-12-10,35.664
2014-12-11,32.98
2014-12-12,45.628
2014-12-13,39.76
2014-12-14,62.936
2014-12-15,55.34
2014-12-16,48.852
2014-12-17,54.344
2014-12-18,47.768
2014-12-19,44.632
2014-12-20,48.336
2014-12-21,82.96
2014-12-22,63.08
2014-12-23,68.108
2014-12-24,70.636
2014-12-25,70.88
2014-12-26,56.532
2014-12-27,59.612
2014-12-28,63.196
2014-12-29,56.036
2014-12-30,57.64
2014-12-31,40.688
2015-01-01,61.216
2015-01-02,76.688
2015-01-03,74.084
2015-01-04,50.828
2015-01-05,66.424
2015-01-06,58.904
2015-01-07,54.348
2015-01-08,57.956
2015-01-09,51.936
2015-01-10,57.184
2015-01-11,62.536
2015-01-12,52.32
2015-01-13,57.236
2015-01-14,44.032
2015-01-15,54.072
2015-01-16,48.54
2015-01-17,44.3
2015-01-18,52.824
2015-01-19,67.96
2015-01-20,69.868
2015-01-21,60.936
2015-01-22,44.44
2015-01-23,52.908
2015-01-24,63.272
2015-01-25,62.952
2015-01-26,59.044
2015-01-27,47.004
2015-01-28,38.7
2015-01-29,53.204
2015-01-30,42.54
2015-01-31,56.044
2015-02-01,71.196
2015-02-02,50.752
2015-02-03,51.096
2015-02-04,48.92
2015-02-05,58.82
2015-02-06,44.024
2015-02-07,48.828
2015-02-08,55.82
2015-02-09,56.98
2015-02-10,41.244
2015-02-11,46.312
2015-02-12,52.656
2015-02-13,55.736
2015-02-14,50.044
2015-02-15,61.472
2015-02-16,50.084
2015-02-17,49.388
2015-02-18,53.376
2015-02-19,63.416
2015-02-20,38.944
2015-02-21,53.46
2015-02-22,65.552
2015-02-23,64.468
2015-02-24,60.492
2015-02-25,60.232
2015-02-26,46.304
2015-02-27,55.568
2015-02-28,41.768
2015-03-01,54.252
2015-03-02,46.708
2015-03-03,61.572
2015-03-04,52.472
2015-03-05,51.936
2015-03-06,52.176
2015-03-07,35.732
2015-03-08,51.268
2015-03-09,50.244
2015-03-10,54.912
2015-03-11,39.256
2015-03-12,46.188
2015-03-13,41.976
2015-03-14,50.028
2015-03-15,50.324
2015-03-16,61.288
2015-03-17,38.908
2015-03-18,35.164
2015-03-19,56.36
2015-03-20,55.828
2015-03-21,36.492
2015-03-22,52.496
2015-03-23,38.164
2015-03-24,44.984
2015-03-25,50.78
2015-03-26,46.196
2015-03-27,41.2
2015-03-28,51.604
2015-03-29,42.068
2015-03-30,45.88
2015-03-31,34.908
2015-04-01,32.732
2015-04-02,31.84
2015-04-03,43.636
2015-04-04,46.94
2015-04-05,43.104
2015-04-06,53.0
2015-04-07,53.592
2015-04-08,52.488
2015-04-09,42.624
2015-04-10,26.744
2015-04-11,55.816
2015-04-12,52.924
2015-04-13,65.96
2015-04-14,48.888
2015-04-15,44.056
2015-04-16,35.692
2015-04-17,42.672
2015-04-18,43.68
2015-04-19,47.696
2015-04-20,46.544
2015-04-21,37.616
2015-04-22,40.2
2015-04-23,38.86
2015-04-24,29.672
2015-04-25,37.532
2015-04-26,53.208
2015-04-27,32.672
2015-04-28,48.172
2015-04-29,41.464
2015-04-30,38.452
2015-05-01,36.784
2015-05-02,30.964
2015-05-03,47.184
2015-05-04,42.9
2015-05-05,55.168
2015-05-06,25.464
2015-05-07,37.752
2015-05-08,37.888
2015-05-09,33.54
2015-05-10,57.388
2015-05-11,46.272
2015-05-12,46.004
2015-05-13,41.288
2015-05-14,30.712
2015-05-15,43.144
2015-05-16,31.908
2015-05-17,56.22
2015-05-18,42.064
2015-05-19,39.356
2015-05-20,63.904
2015-05-21,43.084
2015-05-22,32.864
2015-05-23,49.828
2015-05-24,34.868
2015-05-25,48.676
2015-05-26,43.572
2015-05-27,54.988
2015-05-28,46.26
2015-05-29,44.292
2015-05-30,41.152
2015-05-31,39.852
2015-06-01,55.548
2015-06-02,49.428
2015-06-03,52.76
2015-06-04,54.624
2015-06-05,36.612
2015-06-06,49.564
2015-06-07,73.812
2015-06-08,56.324
2015-06-09,55.984
2015-06-10,52.964
2015-06-11,49.168
2015-06-12,40.532
2015-06-13,38.804
2015-06-14,55.268
2015-06-15,54.62
2015-06-16,72.68
2015-06-17,42.648
2015-06-18,72.616
2015-06-19,46.672
2015-06-20,59.972
2015-06-21,57.276
2015-06-22,70.912
2015-06-23,78.076
2015-06-24,59.704
2015-06-25,73.376
2015-06-26,44.74
2015-06-27,56.036
2015-06-28,64.424
2015-06-29,58.944
2015-06-30,63.044
2015-07-01,61.064
2015-07-02,78.996
2015-07-03,69.82
2015-07-04,69.92
2015-07-05,78.224
2015-07-06,81.804
2015-07-07,71.092
2015-07-08,58.42
2015-07-09,65.284
2015-07-10,70.624
2015-07-11,61.152
2015-07-12,73.42
2015-07-13,49.756
2015-07-14,70.292
2015-07-15,51.332
2015-07-16,61.492
2015-07-17,62.68
2015-07-18,68.172
2015-07-19,71.948
2015-07-20,64.176
2015-07-21,58.308
2015-07-22,70.084
2015-07-23,58.744
2015-07-24,51.64
2015-07-25,49.204
2015-07-26,61.412
2015-07-27,68.64
2015-07-28,67.796
2015-07-29,59.952
2015-07-30,51.28
2015-07-31,64.168
2015-08-01,38.848
2015-08-02,67.796
2015-08-03,63.308
2015-08-04,62.728
2015-08-05,54.32
2015-08-06,45.6
2015-08-07,53.912
2015-08-08,61.72
2015-08-09,55.412
2015-08-10,47.096
2015-08-11,58.376
2015-08-12,61.388
2015-08-13,49.472
2015-08-14,46.9
2015-08-15,37.46
2015-08-16,61.904
2015-08-17,40.136
2015-08-18,62.752
2015-08-19,48.492
2015-08-20,84.58
2015-08-21,47.108
2015-08-22,38.528
2015-08-23,77.46
2015-08-24,49.724
2015-08-25,44.512
2015-08-26,66.524
2015-08-27,61.688
2015-08-28,53.216
2015-08-29,41.968
2015-08-30,52.664
2015-08-31,57.884
2015-09-01,63.104
2015-09-02,64.916
2015-09-03,64.664
2015-09-04,42.828
2015-09-05,39.452
2015-09-06,50.708
2015-09-07,47.812
2015-09-08,56.8
2015-09-09,47.46
2015-09-10,65.3
2015-09-11,48.84
2015-09-12,39.116
2015-09-13,54.676
2015-09-14,50.72
2015-09-15,49.14
2015-09-16,50.448
2015-09-17,41.284
2015-09-18,45.908
2015-09-19,46.472
2015-09-20,50.068
2015-09-21,54.472
2015-09-22,55.264
2015-09-23,50.104
2015-09-24,61.448
2015-09-25,50.012
2015-09-26,46.932
2015-09-27,49.836
2015-09-28,56.372
2015-09-29,33.82
2015-09-30,50.896
2015-10-01,29.528
2015-10-02,34.14
2015-10-03,45.012
2015-10-04,66.356
2015-10-05,52.3
2015-10-06,48.588
2015-10-07,57.92
2015-10-08,39.932
2015-10-09,29.164
2015-10-10,50.136
2015-10-11,49.248
2015-10-12,50.996
2015-10-13,48.332
2015-10-14,49.848
2015-10-15,38.68
2015-10-16,37.072
2015-10-17,44.964
2015-10-18,47.068
2015-10-19,51.088
2015-10-20,44.776
2015-10-21,56.64
2015-10-22,48.88
2015-10-23,56.308
2015-10-24,43.164
2015-10-25,60.06
2015-10-26,52.368
2015-10-27,44.948
2015-10-28,51.964
2015-10-29,54.044
2015-10-30,38.004
2015-10-31,37.312
2015-11-01,45.328
2015-11-02,47.896
2015-11-03,56.656
2015-11-04,59.22
2015-11-05,42.884
2015-11-06,39.636
2015-11-07,51.816
2015-11-08,48.64
2015-11-09,56.168
2015-11-10,47.1
2015-11-11,51.024
2015-11-12,49.84
2015-11-13,38.576
2015-11-14,40.36
2015-11-15,51.78
2015-11-16,46.052
2015-11-17,48.4
2015-11-18,46.244
2015-11-19,46.78
2015-11-20,35.82
2015-11-21,36.452
2015-11-22,40.616
2015-11-23,51.2
2015-11-24,45.484
2015-11-25,47.832
2015-11-26,43.2
2015-11-27,40.9
2015-11-28,39.868
2015-11-29,55.808
2015-11-30,39.816
2015-12-01,47.184
2015-12-02,38.06
2015-12-03,57.688
2015-12-04,49.8
2015-12-05,36.936
2015-12-06,53.14
2015-12-07,49.204
2015-12-08,53.696
2015-12-09,47.596
2015-12-10,44.908
2015-12-11,31.876
2015-12-12,30.832
2015-12-13,51.764
2015-12-14,38.424
2015-12-15,45.184
2015-12-16,42.176
2015-12-17,38.98
2015-12-18,40.448
2015-12-19,53.172
2015-12-20,65.536
2015-12-21,68.972
2015-12-22,69.692
2015-12-23,68.208
2015-12-24,61.012
2015-12-25,57.908
2015-12-26,58.736
2015-12-27,73.716
2015-12-28,49.44
2015-12-29,46.252
2015-12-30,58.088
2015-12-31,41.328
2016-01-01,55.608
2016-01-02,57.248
2016-01-03,59.972
2016-01-04,52.504
2016-01-05,39.02
2016-01-06,58.62
2016-01-07,36.848
2016-01-08,44.528
2016-01-09,40.38
2016-01-10,61.712
2016-01-11,45.292
2016-01-12,40.796
2016-01-13,44.24
2016-01-14,52.912
2016-01-15,38.592
2016-01-16,48.896
2016-01-17,40.376
2016-01-18,47.12
2016-01-19,40.648
2016-01-20,46.38
2016-01-21,40.396
2016-01-22,40.876
2016-01-23,46.44
2016-01-24,49.016
2016-01-25,44.572
2016-01-26,47.748
2016-01-27,53.176
2016-01-28,53.252
2016-01-29,39.272
2016-01-30,39.584
2016-01-31,52.052
2016-02-01,40.992
2016-02-02,43.068
2016-02-03,39.836
2016-02-04,42.648
2016-02-05,33.868
2016-02-06,36.472
2016-02-07,53.732
2016-02-08,40.984
2016-02-09,40.912
2016-02-10,40.476
2016-02-11,38.944
2016-02-12,41.156
2016-02-13,42.764
2016-02-14,43.384
2016-02-15,43.416
2016-02-16,36.328
2016-02-17,43.104
2016-02-18,33.984
2016-02-19,31.996
2016-02-20,38.952
2016-02-21,56.94
2016-02-22,42.264
2016-02-23,46.308
2016-02-24,44.316
2016-02-25,46.668
2016-02-26,48.636
2016-02-27,44.076
2016-02-28,51.072
2016-02-29,43.276
2016-03-01,36.42
2016-03-02,34.216
2016-03-03,36.196
2016-03-04,37.224
2016-03-05,36.012
2016-03-06,52.384
2016-03-07,34.032
2016-03-08,38.444
2016-03-09,33.104
2016-03-10,42.968
2016-03-11,36.364
2016-03-12,33.964
2016-03-13,43.096
2016-03-14,44.92
2016-03-15,41.596
2016-03-16,42.108
2016-03-17,40.74
2016-03-18,32.824
2016-03-19,32.284
2016-03-20,32.964
2016-03-21,34.204
2016-03-22,33.316
2016-03-23,34.46
2016-03-24,29.94
2016-03-25,43.032
2016-03-26,36.976
2016-03-27,35.156
2016-03-28,44.676
2016-03-29,34.968
2016-03-30,36.112
2016-03-31,39.24
2016-04-01,35.224
2016-04-02,28.664
2016-04-03,34.336
2016-04-04,40.544
2016-04-05,32.268
2016-04-06,26.156
2016-04-07,28.112
2016-04-08,22.84
2016-04-09,27.608
2016-04-10,34.3
2016-04-11,32.264
2016-04-12,34.14
2016-04-13,26.096
2016-04-14,28.42
2016-04-15,25.124
2016-04-16,22.672
2016-04-17,39.224
2016-04-18,32.2
2016-04-19,24.744
2016-04-20,30.68
2016-04-21,35.988
2016-04-22,27.436
2016-04-23,29.448
2016-04-24,26.972
2016-04-25,38.976
2016-04-26,24.368
2016-04-27,39.128
2016-04-28,29.876
2016-04-29,27.812
2016-04-30,22.916
2016-05-01,31.78
2016-05-02,29.592
2016-05-03,36.508
2016-05-04,29.524
2016-05-05,29.044
2016-05-06,34.492
2016-05-07,28.444
2016-05-08,30.2
2016-05-09,32.932
2016-05-10,30.744
2016-05-11,22.668
2016-05-12,30.244
2016-05-13,24.992
2016-05-14,27.072
2016-05-15,26.988
2016-05-16,25.404
2016-05-17,26.884
2016-05-18,37.112
2016-05-19,25.82
2016-05-20,28.532
2016-05-21,23.032
2016-05-22,30.24
2016-05-23,27.104
2016-05-24,31.828
2016-05-25,23.004
2016-05-26,32.232
2016-05-27,28.144
2016-05-28,27.668
