,Google Trend
2014-02-12,29.592
2014-02-13,23.884
2014-02-14,32.912
2014-02-15,4.764
2014-02-16,12.924
2014-02-17,17.08
2014-02-18,35.144
2014-02-19,17.72
2014-02-20,27.092
2014-02-21,19.652
2014-02-22,7.84
2014-02-23,12.156
2014-02-24,28.216
2014-02-25,17.62
2014-02-26,20.984
2014-02-27,25.172
2014-02-28,23.916
2014-03-01,14.592
2014-03-02,18.148
2014-03-03,17.076
2014-03-04,31.224
2014-03-05,27.352
2014-03-06,17.168
2014-03-07,12.048
2014-03-08,7.5
2014-03-09,10.22
2014-03-10,33.04
2014-03-11,24.576
2014-03-12,34.38
2014-03-13,49.348
2014-03-14,27.128
2014-03-15,9.576
2014-03-16,16.56
2014-03-17,26.36
2014-03-18,21.008
2014-03-19,23.736
2014-03-20,22.356
2014-03-21,18.616
2014-03-22,15.836
2014-03-23,19.316
2014-03-24,21.708
2014-03-25,21.892
2014-03-26,36.852
2014-03-27,51.752
2014-03-28,54.492
2014-03-29,18.112
2014-03-30,32.04
2014-03-31,28.9
2014-04-01,53.18
2014-04-02,37.936
2014-04-03,39.288
2014-04-04,31.364
2014-04-05,22.76
2014-04-06,21.352
2014-04-07,26.46
2014-04-08,27.696
2014-04-09,29.84
2014-04-10,25.06
2014-04-11,43.084
2014-04-12,18.452
2014-04-13,18.9
2014-04-14,27.844
2014-04-15,19.852
2014-04-16,29.54
2014-04-17,27.672
2014-04-18,15.1
2014-04-19,11.544
2014-04-20,20.108
2014-04-21,25.6
2014-04-22,34.5
2014-04-23,30.24
2014-04-24,46.808
2014-04-25,33.908
2014-04-26,17.032
2014-04-27,18.208
2014-04-28,20.816
2014-04-29,35.448
2014-04-30,32.036
2014-05-01,23.332
2014-05-02,25.428
2014-05-03,28.44
2014-05-04,18.764
2014-05-05,37.9
2014-05-06,43.164
2014-05-07,56.908
2014-05-08,49.072
2014-05-09,30.96
2014-05-10,13.492
2014-05-11,15.54
2014-05-12,28.388
2014-05-13,33.888
2014-05-14,97.952
2014-05-15,48.66
2014-05-16,28.788
2014-05-17,2.068
2014-05-18,18.652
2014-05-19,24.956
2014-05-20,34.604
2014-05-21,30.372
2014-05-22,20.284
2014-05-23,39.716
2014-05-24,17.436
2014-05-25,19.536
2014-05-26,41.476
2014-05-27,22.708
2014-05-28,35.668
2014-05-29,29.504
