,Google Trend
2014-02-12,33.0
2014-02-13,31.28
2014-02-14,16.9
2014-02-15,16.192
2014-02-16,21.524
2014-02-17,35.072
2014-02-18,26.508
2014-02-19,31.716
2014-02-20,28.232
2014-02-21,30.108
2014-02-22,18.508
2014-02-23,13.116
2014-02-24,28.0
2014-02-25,17.288
2014-02-26,20.092
2014-02-27,22.856
2014-02-28,28.044
2014-03-01,10.676
2014-03-02,15.788
2014-03-03,29.148
2014-03-04,33.196
2014-03-05,39.608
2014-03-06,32.984
2014-03-07,32.752
2014-03-08,22.356
2014-03-09,31.32
2014-03-10,38.236
2014-03-11,27.148
2014-03-12,37.688
2014-03-13,76.744
2014-03-14,75.836
2014-03-15,22.492
2014-03-16,25.484
2014-03-17,33.328
2014-03-18,21.996
2014-03-19,34.42
2014-03-20,23.364
2014-03-21,31.936
2014-03-22,9.084
2014-03-23,14.08
2014-03-24,28.864
2014-03-25,27.016
2014-03-26,22.5
2014-03-27,38.836
2014-03-28,43.876
2014-03-29,34.392
2014-03-30,28.452
2014-03-31,37.92
2014-04-01,31.584
2014-04-02,27.908
2014-04-03,27.48
2014-04-04,22.008
2014-04-05,13.952
2014-04-06,19.02
2014-04-07,24.664
2014-04-08,28.264
2014-04-09,32.884
2014-04-10,37.096
2014-04-11,28.076
2014-04-12,25.532
2014-04-13,18.668
2014-04-14,22.384
2014-04-15,26.5
2014-04-16,26.84
2014-04-17,65.504
2014-04-18,25.02
2014-04-19,14.032
2014-04-20,23.004
2014-04-21,32.868
2014-04-22,38.828
2014-04-23,35.164
2014-04-24,46.032
2014-04-25,27.528
2014-04-26,28.736
2014-04-27,21.624
2014-04-28,28.868
2014-04-29,32.872
2014-04-30,25.332
2014-05-01,28.004
2014-05-02,22.816
2014-05-03,10.08
2014-05-04,16.084
2014-05-05,29.456
2014-05-06,38.264
2014-05-07,30.508
2014-05-08,27.416
2014-05-09,23.956
2014-05-10,8.988
2014-05-11,5.092
2014-05-12,21.796
2014-05-13,23.44
2014-05-14,34.092
2014-05-15,30.036
2014-05-16,44.228
2014-05-17,23.756
2014-05-18,17.584
2014-05-19,31.648
2014-05-20,16.92
2014-05-21,31.036
2014-05-22,40.364
2014-05-23,22.252
2014-05-24,27.764
2014-05-25,5.34
2014-05-26,23.084
2014-05-27,29.98
2014-05-28,26.232
2014-05-29,20.712
2014-05-30,20.724
2014-05-31,22.444
2014-06-01,18.22
2014-06-02,42.444
2014-06-03,30.644
2014-06-04,40.284
2014-06-05,49.108
2014-06-06,33.26
2014-06-07,26.676
2014-06-08,41.6
2014-06-09,38.34
2014-06-10,41.104
2014-06-11,39.012
2014-06-12,44.296
2014-06-13,47.892
2014-06-14,31.604
2014-06-15,32.584
2014-06-16,20.516
2014-06-17,27.388
2014-06-18,26.708
2014-06-19,26.22
2014-06-20,28.064
2014-06-21,12.264
2014-06-22,22.972
2014-06-23,28.268
2014-06-24,25.544
2014-06-25,35.388
2014-06-26,18.712
