,Google Trend
2014-02-12,33.392
2014-02-13,38.492
2014-02-14,34.996
2014-02-15,31.816
2014-02-16,15.916
2014-02-17,36.868
2014-02-18,26.604
2014-02-19,24.748
2014-02-20,40.356
2014-02-21,59.248
2014-02-22,27.22
2014-02-23,8.784
2014-02-24,26.1
2014-02-25,37.352
2014-02-26,19.148
2014-02-27,16.548
2014-02-28,25.852
2014-03-01,19.9
2014-03-02,42.604
2014-03-03,28.172
2014-03-04,35.768
2014-03-05,19.928
2014-03-06,37.232
2014-03-07,32.184
2014-03-08,19.976
2014-03-09,25.576
2014-03-10,39.816
2014-03-11,15.36
2014-03-12,26.008
2014-03-13,34.468
2014-03-14,29.328
2014-03-15,22.244
2014-03-16,24.528
2014-03-17,31.856
2014-03-18,39.796
2014-03-19,36.196
2014-03-20,39.6
2014-03-21,27.448
2014-03-22,38.952
2014-03-23,17.368
2014-03-24,34.676
2014-03-25,18.88
2014-03-26,21.976
2014-03-27,21.096
2014-03-28,22.052
2014-03-29,29.412
2014-03-30,17.264
2014-03-31,17.208
2014-04-01,15.996
2014-04-02,27.216
2014-04-03,39.092
2014-04-04,27.608
2014-04-05,30.396
2014-04-06,19.56
2014-04-07,28.812
2014-04-08,37.092
2014-04-09,24.068
2014-04-10,27.688
2014-04-11,34.92
2014-04-12,34.804
2014-04-13,19.928
2014-04-14,28.84
2014-04-15,40.828
2014-04-16,25.816
2014-04-17,40.284
2014-04-18,27.248
2014-04-19,45.996
2014-04-20,9.6
2014-04-21,34.96
2014-04-22,32.604
2014-04-23,32.724
2014-04-24,27.312
2014-04-25,23.112
2014-04-26,19.16
2014-04-27,20.812
2014-04-28,28.42
2014-04-29,25.16
2014-04-30,22.476
2014-05-01,18.764
2014-05-02,19.928
2014-05-03,15.232
2014-05-04,33.892
2014-05-05,24.488
2014-05-06,32.164
2014-05-07,25.404
2014-05-08,40.06
2014-05-09,48.744
2014-05-10,11.94
2014-05-11,27.476
2014-05-12,44.376
2014-05-13,32.08
2014-05-14,39.408
2014-05-15,25.348
2014-05-16,34.656
2014-05-17,17.944
2014-05-18,29.932
2014-05-19,46.632
2014-05-20,37.248
2014-05-21,32.508
2014-05-22,22.844
2014-05-23,37.644
2014-05-24,31.948
2014-05-25,0.0
2014-05-26,17.244
2014-05-27,42.56
2014-05-28,44.672
2014-05-29,31.784
2014-05-30,44.508
2014-05-31,43.864
2014-06-01,13.66
2014-06-02,44.816
2014-06-03,10.264
2014-06-04,32.132
2014-06-05,38.692
2014-06-06,16.452
2014-06-07,14.912
2014-06-08,17.36
2014-06-09,43.196
2014-06-10,26.776
2014-06-11,39.588
2014-06-12,45.004
2014-06-13,16.824
2014-06-14,24.72
2014-06-15,25.876
2014-06-16,23.632
2014-06-17,28.556
2014-06-18,13.42
2014-06-19,46.472
2014-06-20,49.908
2014-06-21,25.508
2014-06-22,15.68
2014-06-23,42.516
2014-06-24,52.444
2014-06-25,26.892
2014-06-26,27.032
2014-06-27,41.624
2014-06-28,15.72
2014-06-29,23.656
2014-06-30,47.572
2014-07-01,21.008
2014-07-02,24.184
2014-07-03,29.772
2014-07-04,46.904
2014-07-05,22.376
2014-07-06,29.992
2014-07-07,19.796
2014-07-08,20.932
2014-07-09,20.156
2014-07-10,19.028
2014-07-11,39.656
2014-07-12,24.232
2014-07-13,16.016
2014-07-14,23.596
2014-07-15,20.548
2014-07-16,17.492
2014-07-17,13.16
2014-07-18,60.068
2014-07-19,34.56
2014-07-20,19.956
2014-07-21,20.924
2014-07-22,57.108
2014-07-23,42.556
2014-07-24,38.828
2014-07-25,17.928
2014-07-26,18.808
2014-07-27,9.18
2014-07-28,26.852
2014-07-29,20.012
2014-07-30,31.708
2014-07-31,32.24
2014-08-01,27.296
2014-08-02,18.752
2014-08-03,23.92
2014-08-04,21.472
2014-08-05,26.024
2014-08-06,33.668
2014-08-07,32.516
2014-08-08,16.132
2014-08-09,17.644
2014-08-10,31.448
2014-08-11,30.1
2014-08-12,25.636
2014-08-13,30.912
2014-08-14,24.436
2014-08-15,26.712
2014-08-16,15.584
2014-08-17,4.02
2014-08-18,31.696
2014-08-19,31.016
2014-08-20,17.068
2014-08-21,18.64
2014-08-22,9.384
2014-08-23,12.5
2014-08-24,30.332
2014-08-25,25.116
2014-08-26,27.396
2014-08-27,34.316
2014-08-28,26.776
2014-08-29,8.192
2014-08-30,9.604
2014-08-31,8.964
2014-09-01,18.592
2014-09-02,23.964
2014-09-03,30.252
2014-09-04,15.24
2014-09-05,12.96
2014-09-06,15.48
2014-09-07,19.764
2014-09-08,14.796
2014-09-09,29.76
2014-09-10,31.684
2014-09-11,43.428
2014-09-12,33.16
2014-09-13,20.044
2014-09-14,20.08
2014-09-15,22.46
2014-09-16,25.86
2014-09-17,9.932
2014-09-18,25.528
2014-09-19,4.132
2014-09-20,34.924
2014-09-21,21.744
2014-09-22,24.352
2014-09-23,40.376
2014-09-24,17.572
2014-09-25,12.124
2014-09-26,30.272
2014-09-27,22.324
2014-09-28,25.188
2014-09-29,23.884
2014-09-30,29.964
2014-10-01,54.18
2014-10-02,38.028
2014-10-03,18.68
2014-10-04,21.348
2014-10-05,9.068
2014-10-06,33.764
2014-10-07,38.308
2014-10-08,24.6
2014-10-09,46.056
2014-10-10,24.76
2014-10-11,33.78
2014-10-12,20.228
2014-10-13,31.592
2014-10-14,47.428
2014-10-15,32.1
2014-10-16,30.528
2014-10-17,64.152
2014-10-18,23.044
2014-10-19,21.036
2014-10-20,26.712
2014-10-21,37.796
2014-10-22,26.584
2014-10-23,37.744
2014-10-24,27.66
2014-10-25,21.892
2014-10-26,25.492
2014-10-27,41.532
2014-10-28,32.984
2014-10-29,38.64
2014-10-30,35.368
2014-10-31,47.988
2014-11-01,12.224
2014-11-02,32.376
2014-11-03,19.764
2014-11-04,31.988
2014-11-05,23.216
2014-11-06,47.172
2014-11-07,31.176
2014-11-08,33.124
2014-11-09,9.996
2014-11-10,39.964
2014-11-11,42.9
2014-11-12,26.948
2014-11-13,23.364
2014-11-14,18.412
2014-11-15,32.46
2014-11-16,22.772
2014-11-17,27.708
2014-11-18,34.732
2014-11-19,38.124
2014-11-20,12.016
2014-11-21,28.416
2014-11-22,29.704
2014-11-23,22.18
2014-11-24,27.604
2014-11-25,27.056
2014-11-26,25.208
2014-11-27,23.204
2014-11-28,28.948
2014-11-29,13.804
2014-11-30,20.004
2014-12-01,23.616
2014-12-02,39.568
2014-12-03,17.372
2014-12-04,29.38
2014-12-05,43.896
2014-12-06,22.444
2014-12-07,10.924
2014-12-08,32.56
2014-12-09,24.404
2014-12-10,35.688
2014-12-11,52.412
2014-12-12,35.86
2014-12-13,27.036
2014-12-14,20.984
2014-12-15,61.952
2014-12-16,34.9
2014-12-17,44.692
2014-12-18,28.924
2014-12-19,31.416
2014-12-20,12.212
2014-12-21,29.24
2014-12-22,14.212
2014-12-23,20.744
2014-12-24,17.888
2014-12-25,16.176
2014-12-26,31.864
2014-12-27,9.076
2014-12-28,17.932
2014-12-29,19.248
2014-12-30,32.66
2014-12-31,39.016
2015-01-01,35.332
2015-01-02,22.38
2015-01-03,27.94
2015-01-04,30.308
2015-01-05,23.644
2015-01-06,16.468
2015-01-07,41.18
2015-01-08,35.784
2015-01-09,33.476
2015-01-10,17.572
2015-01-11,22.664
2015-01-12,32.996
2015-01-13,59.552
2015-01-14,29.772
2015-01-15,31.776
2015-01-16,47.228
2015-01-17,37.76
2015-01-18,26.592
2015-01-19,40.452
2015-01-20,24.368
2015-01-21,46.456
2015-01-22,26.2
2015-01-23,35.588
2015-01-24,17.352
2015-01-25,22.86
2015-01-26,20.544
2015-01-27,28.296
2015-01-28,23.784
2015-01-29,31.348
2015-01-30,31.012
2015-01-31,26.072
2015-02-01,30.304
2015-02-02,23.5
2015-02-03,55.816
2015-02-04,17.076
2015-02-05,86.396
2015-02-06,30.864
2015-02-07,12.252
2015-02-08,38.536
2015-02-09,26.268
2015-02-10,31.256
2015-02-11,28.364
2015-02-12,29.692
2015-02-13,15.956
2015-02-14,9.328
2015-02-15,19.968
2015-02-16,21.444
2015-02-17,28.112
2015-02-18,12.324
2015-02-19,22.988
2015-02-20,23.74
2015-02-21,19.768
2015-02-22,32.816
2015-02-23,46.572
2015-02-24,22.712
2015-02-25,24.756
2015-02-26,22.256
2015-02-27,31.412
2015-02-28,32.896
2015-03-01,23.588
2015-03-02,43.108
2015-03-03,28.42
2015-03-04,27.704
2015-03-05,28.376
2015-03-06,45.924
2015-03-07,19.328
2015-03-08,11.0
2015-03-09,28.2
2015-03-10,26.1
2015-03-11,30.668
2015-03-12,19.716
2015-03-13,34.1
2015-03-14,23.46
2015-03-15,26.896
2015-03-16,52.668
2015-03-17,29.736
2015-03-18,52.584
2015-03-19,21.38
2015-03-20,45.132
2015-03-21,19.332
2015-03-22,23.192
2015-03-23,36.696
2015-03-24,17.468
2015-03-25,25.788
2015-03-26,28.128
2015-03-27,14.088
2015-03-28,25.356
2015-03-29,18.924
2015-03-30,16.488
2015-03-31,20.328
2015-04-01,28.78
2015-04-02,29.296
2015-04-03,35.376
2015-04-04,39.476
2015-04-05,16.084
2015-04-06,18.812
2015-04-07,36.696
2015-04-08,20.88
2015-04-09,19.864
2015-04-10,35.604
2015-04-11,21.468
2015-04-12,27.54
2015-04-13,31.172
2015-04-14,39.608
2015-04-15,18.508
2015-04-16,48.74
2015-04-17,26.0
2015-04-18,16.86
2015-04-19,28.92
2015-04-20,45.996
2015-04-21,60.748
2015-04-22,33.548
2015-04-23,25.324
2015-04-24,20.332
2015-04-25,28.584
2015-04-26,30.788
2015-04-27,16.012
2015-04-28,35.344
2015-04-29,30.16
2015-04-30,27.372
2015-05-01,32.28
2015-05-02,6.0
2015-05-03,14.668
2015-05-04,19.948
2015-05-05,13.664
2015-05-06,16.96
2015-05-07,29.988
2015-05-08,19.12
2015-05-09,10.228
2015-05-10,11.628
2015-05-11,49.732
2015-05-12,28.484
2015-05-13,10.044
2015-05-14,20.34
2015-05-15,21.072
2015-05-16,34.352
2015-05-17,25.2
2015-05-18,20.98
2015-05-19,9.448
2015-05-20,17.812
2015-05-21,53.864
2015-05-22,32.568
2015-05-23,15.516
2015-05-24,13.812
2015-05-25,35.532
2015-05-26,34.916
2015-05-27,33.756
2015-05-28,41.38
2015-05-29,22.156
2015-05-30,13.544
2015-05-31,31.1
2015-06-01,30.044
2015-06-02,32.864
2015-06-03,33.58
2015-06-04,29.244
2015-06-05,47.84
2015-06-06,9.396
2015-06-07,24.544
2015-06-08,27.252
2015-06-09,10.608
2015-06-10,23.608
2015-06-11,26.292
2015-06-12,30.0
2015-06-13,17.584
2015-06-14,26.676
2015-06-15,27.032
2015-06-16,18.652
2015-06-17,24.988
2015-06-18,24.508
2015-06-19,31.052
