,Google Trend
2014-02-12,20.304
2014-02-13,17.06
2014-02-14,26.988
2014-02-15,15.94
2014-02-16,11.412
2014-02-17,23.332
2014-02-18,17.784
2014-02-19,24.072
2014-02-20,19.204
2014-02-21,16.984
2014-02-22,11.42
2014-02-23,11.444
2014-02-24,26.9
2014-02-25,34.712
2014-02-26,24.232
2014-02-27,24.956
2014-02-28,25.276
2014-03-01,5.496
2014-03-02,28.032
2014-03-03,22.472
2014-03-04,29.528
2014-03-05,28.172
2014-03-06,18.828
2014-03-07,17.836
2014-03-08,12.864
2014-03-09,11.392
2014-03-10,17.988
2014-03-11,30.964
2014-03-12,38.7
2014-03-13,27.604
2014-03-14,15.428
2014-03-15,16.672
2014-03-16,19.736
2014-03-17,30.156
2014-03-18,36.48
2014-03-19,35.556
2014-03-20,30.164
2014-03-21,17.02
2014-03-22,15.512
2014-03-23,14.784
2014-03-24,34.288
2014-03-25,28.324
2014-03-26,25.24
2014-03-27,16.572
2014-03-28,19.88
2014-03-29,21.324
2014-03-30,13.032
2014-03-31,25.076
2014-04-01,18.936
2014-04-02,28.832
2014-04-03,33.032
2014-04-04,19.92
2014-04-05,18.24
2014-04-06,20.9
2014-04-07,26.456
2014-04-08,25.496
2014-04-09,20.004
2014-04-10,21.572
2014-04-11,21.24
2014-04-12,16.692
2014-04-13,20.576
2014-04-14,25.88
2014-04-15,31.852
2014-04-16,35.472
2014-04-17,39.88
2014-04-18,17.648
2014-04-19,25.04
2014-04-20,11.484
2014-04-21,15.892
2014-04-22,29.524
2014-04-23,34.688
2014-04-24,34.896
2014-04-25,18.7
2014-04-26,14.14
2014-04-27,11.936
2014-04-28,19.232
2014-04-29,37.112
2014-04-30,20.668
2014-05-01,9.392
2014-05-02,8.596
2014-05-03,0.0
2014-05-04,18.064
2014-05-05,16.92
2014-05-06,18.888
2014-05-07,18.824
2014-05-08,11.296
2014-05-09,14.864
2014-05-10,15.536
2014-05-11,23.84
2014-05-12,23.08
2014-05-13,25.692
2014-05-14,29.164
2014-05-15,36.276
2014-05-16,10.728
2014-05-17,11.98
2014-05-18,13.152
2014-05-19,23.208
2014-05-20,42.4
2014-05-21,10.968
2014-05-22,22.448
2014-05-23,35.68
2014-05-24,10.588
2014-05-25,40.172
2014-05-26,14.588
2014-05-27,20.6
2014-05-28,22.108
2014-05-29,49.236
2014-05-30,36.784
2014-05-31,9.232
2014-06-01,15.668
2014-06-02,22.74
2014-06-03,28.428
2014-06-04,32.396
2014-06-05,27.744
2014-06-06,35.252
2014-06-07,17.128
2014-06-08,40.812
2014-06-09,42.008
2014-06-10,22.496
2014-06-11,54.472
2014-06-12,36.352
2014-06-13,47.98
2014-06-14,0.0
2014-06-15,10.076
2014-06-16,44.588
2014-06-17,27.768
2014-06-18,22.644
2014-06-19,26.688
2014-06-20,16.38
2014-06-21,16.276
2014-06-22,18.364
2014-06-23,18.988
2014-06-24,20.928
2014-06-25,19.556
2014-06-26,22.28
2014-06-27,29.356
2014-06-28,6.84
2014-06-29,19.204
2014-06-30,23.344
2014-07-01,36.848
2014-07-02,17.236
2014-07-03,31.692
2014-07-04,16.82
2014-07-05,16.444
2014-07-06,9.848
2014-07-07,6.616
2014-07-08,20.364
2014-07-09,13.896
2014-07-10,43.592
2014-07-11,19.772
2014-07-12,0.0
2014-07-13,35.544
2014-07-14,28.568
