,Google Trend
2014-02-12,25.032
2014-02-13,32.564
2014-02-14,20.116
2014-02-15,11.2
2014-02-16,12.768
2014-02-17,13.408
2014-02-18,10.072
2014-02-19,14.28
2014-02-20,12.472
2014-02-21,17.268
2014-02-22,15.076
2014-02-23,22.796
2014-02-24,32.972
2014-02-25,29.324
2014-02-26,18.392
2014-02-27,23.2
2014-02-28,24.284
2014-03-01,5.216
2014-03-02,13.824
2014-03-03,14.488
2014-03-04,14.528
2014-03-05,17.78
2014-03-06,15.984
2014-03-07,21.44
2014-03-08,12.484
2014-03-09,7.784
2014-03-10,22.656
2014-03-11,30.804
2014-03-12,17.572
2014-03-13,17.376
2014-03-14,18.336
2014-03-15,15.364
2014-03-16,19.16
2014-03-17,17.032
2014-03-18,24.732
2014-03-19,18.852
2014-03-20,18.604
2014-03-21,11.452
2014-03-22,19.696
2014-03-23,9.26
2014-03-24,17.696
2014-03-25,13.804
2014-03-26,19.776
2014-03-27,13.892
2014-03-28,18.532
2014-03-29,17.092
2014-03-30,15.496
2014-03-31,7.824
2014-04-01,20.36
2014-04-02,15.528
2014-04-03,14.224
2014-04-04,10.484
2014-04-05,7.296
2014-04-06,7.868
2014-04-07,14.284
2014-04-08,13.536
2014-04-09,12.172
2014-04-10,19.284
2014-04-11,15.752
2014-04-12,23.668
2014-04-13,9.056
2014-04-14,14.24
2014-04-15,26.944
2014-04-16,15.744
2014-04-17,25.68
2014-04-18,23.188
2014-04-19,18.74
2014-04-20,0.0
2014-04-21,13.86
2014-04-22,19.888
2014-04-23,17.94
2014-04-24,35.096
2014-04-25,18.9
2014-04-26,10.72
2014-04-27,13.284
2014-04-28,21.444
2014-04-29,9.444
2014-04-30,21.44
2014-05-01,4.516
2014-05-02,1.744
2014-05-03,7.072
2014-05-04,10.812
2014-05-05,10.604
2014-05-06,13.932
2014-05-07,13.28
2014-05-08,9.616
2014-05-09,13.424
2014-05-10,11.88
2014-05-11,7.276
2014-05-12,17.888
2014-05-13,14.868
2014-05-14,14.316
2014-05-15,21.856
2014-05-16,19.124
2014-05-17,9.904
2014-05-18,11.304
2014-05-19,9.232
2014-05-20,22.26
2014-05-21,10.92
2014-05-22,14.556
2014-05-23,19.216
2014-05-24,15.028
2014-05-25,12.268
2014-05-26,16.86
2014-05-27,34.02
2014-05-28,22.696
2014-05-29,8.968
2014-05-30,8.756
2014-05-31,7.92
2014-06-01,30.528
2014-06-02,16.888
2014-06-03,10.872
2014-06-04,33.552
2014-06-05,19.82
2014-06-06,14.604
2014-06-07,7.312
2014-06-08,13.732
2014-06-09,39.388
2014-06-10,23.12
2014-06-11,12.308
2014-06-12,14.416
2014-06-13,19.536
2014-06-14,0.0
2014-06-15,19.396
2014-06-16,12.968
2014-06-17,6.94
2014-06-18,13.268
2014-06-19,2.448
2014-06-20,16.572
2014-06-21,14.696
2014-06-22,0.0
2014-06-23,10.188
2014-06-24,23.6
2014-06-25,8.748
2014-06-26,13.996
2014-06-27,8.088
2014-06-28,6.34
2014-06-29,5.156
2014-06-30,20.568
2014-07-01,17.744
2014-07-02,17.396
2014-07-03,18.164
2014-07-04,9.224
2014-07-05,0.0
2014-07-06,7.516
2014-07-07,10.82
2014-07-08,14.32
2014-07-09,5.872
2014-07-10,13.2
